iter	Passed	Remaining
1326	12219	33821
1327	12228	33811
1328	12236	33800
1329	12245	33789
1330	12254	33779
1331	12263	33769
1332	12272	33760
1333	12281	33749
1334	12290	33740
1335	12298	33729
1336	12307	33719
1337	12316	33708
1338	12324	33697
1339	12333	33686
1340	12342	33676
1341	12351	33666
1342	12360	33656
1343	12368	33645
1344	12377	33635
1345	12386	33624
1346	12394	33614
1347	12403	33604
1348	12412	33593
1349	12421	33583
1350	12429	33572
1351	12438	33561
1352	12447	33551
1353	12455	33540
1354	12464	33530
1355	12473	33521
1356	12482	33511
1357	12491	33501
1358	12500	33491
1359	12509	33481
1360	12518	33472
1361	12527	33461
1362	12536	33451
1363	12545	33442
1364	12554	33432
1365	12563	33421
1366	12572	33412
1367	12581	33402
1368	12590	33393
1369	12599	33383
1370	12607	33372
1371	12616	33362
1372	12625	33351
1373	12634	33341
1374	12643	33332
1375	12651	33321
1376	12660	33310
1377	12669	33300
1378	12677	33289
1379	12686	33279
1380	12695	33269
1381	12704	33258
1382	12713	33249
1383	12721	33238
1384	12730	33228
1385	12739	33217
1386	12747	33206
1387	12756	33195
1388	12765	33186
1389	12774	33176
1390	12782	33165
1391	12791	33156
1392	12800	33144
1393	12809	33135
1394	12818	33124
1395	12827	33115
1396	12835	33105
1397	12844	33094
1398	12853	33084
1399	12862	33074
1400	12870	33063
1401	12879	33053
1402	12888	33043
1403	12896	33032
1404	12905	33022
1405	12914	33011
1406	12923	33001
1407	12931	32990
1408	12940	32979
1409	12948	32968
1410	12957	32959
1411	12966	32948
1412	12975	32938
1413	12984	32928
1414	12993	32918
1415	13002	32909
1416	13011	32900
1417	13020	32890
1418	13029	32880
1419	13037	32869
1420	13046	32858
1421	13054	32847
1422	13063	32837
1423	13084	32857
1424	13097	32857
1425	13106	32849
1426	13115	32839
1427	13124	32829
1428	13133	32820
1429	13142	32810
1430	13151	32800
1431	13160	32790
1432	13169	32780
1433	13177	32769
1434	13186	32760
1435	13195	32749
1436	13204	32740
1437	13213	32729
1438	13221	32718
1439	13230	32709
1440	13239	32697
1441	13247	32687
1442	13256	32678
1443	13265	32668
1444	13274	32658
1445	13283	32648
1446	13292	32639
1447	13301	32629
1448	13310	32620
1449	13319	32608
1450	13328	32599
1451	13336	32589
1452	13345	32579
1453	13354	32568
1454	13363	32558
1455	13371	32547
1456	13380	32536
1457	13388	32525
1458	13397	32515
1459	13405	32504
1460	13414	32494
1461	13423	32484
1462	13432	32473
1463	13440	32463
1464	13449	32452
1465	13457	32441
1466	13466	32431
1467	13477	32427
1468	13487	32419
1469	13496	32409
1470	13505	32399
1471	13514	32389
1472	13522	32378
1473	13531	32369
1474	13540	32358
1475	13548	32348
1476	13558	32339
1477	13566	32328
1478	13575	32318
1479	13584	32309
1480	13593	32299
1481	13602	32289
1482	13610	32278
1483	13619	32267
1484	13628	32257
1485	13637	32248
1486	13646	32238
1487	13654	32228
1488	13663	32218
1489	13672	32208
1490	13681	32197
1491	13689	32187
1492	13698	32176
1493	13707	32167
1494	13716	32157
1495	13724	32146
1496	13733	32136
1497	13742	32126
1498	13750	32116
1499	13760	32106
1500	13769	32097
1501	13777	32087
1502	13786	32077
1503	13795	32066
1504	13804	32057
1505	13813	32047
1506	13822	32037
1507	13830	32027
1508	13839	32017
1509	13848	32007
1510	13856	31996
1511	13865	31986
1512	13873	31975
1513	13882	31965
1514	13891	31954
1515	13900	31945
1516	13909	31935
1517	13917	31924
1518	13926	31914
1519	13935	31905
1520	13944	31894
1521	13952	31884
1522	13961	31874
1523	13970	31864
1524	13979	31855
1525	13988	31844
1526	13996	31834
1527	14005	31824
1528	14014	31815
1529	14023	31805
1530	14032	31795
1531	14043	31789
1532	14061	31801
1533	14075	31803
1534	14085	31795
1535	14094	31785
1536	14103	31776
1537	14112	31767
1538	14122	31758
1539	14131	31749
1540	14139	31739
1541	14148	31728
1542	14157	31719
1543	14166	31708
1544	14176	31701
1545	14185	31691
1546	14194	31682
1547	14202	31671
1548	14211	31662
1549	14220	31652
1550	14229	31643
1551	14238	31633
1552	14247	31622
1553	14256	31613
1554	14264	31602
1555	14273	31593
1556	14282	31583
1557	14291	31572
1558	14300	31563
1559	14309	31554
1560	14317	31543
1561	14326	31533
1562	14335	31523
1563	14344	31514
1564	14353	31505
1565	14362	31494
1566	14371	31484
1567	14380	31475
1568	14389	31465
1569	14398	31456
1570	14407	31446
1571	14415	31436
1572	14424	31426
1573	14433	31415
1574	14442	31406
1575	14451	31396
1576	14459	31386
1577	14468	31376
1578	14477	31366
1579	14486	31356
1580	14495	31346
1581	14503	31336
1582	14512	31325
1583	14521	31316
1584	14529	31305
1585	14538	31295
1586	14547	31285
1587	14555	31275
1588	14564	31265
1589	14573	31254
1590	14581	31244
1591	14590	31234
1592	14599	31224
1593	14608	31214
1594	14616	31204
1595	14625	31194
1596	14634	31184
1597	14643	31175
1598	14653	31167
1599	14661	31156
1600	14671	31147
1601	14679	31137
1602	14688	31127
1603	14697	31117
1604	14706	31107
1605	14715	31097
1606	14724	31088
1607	14733	31079
1608	14741	31068
1609	14750	31058
1610	14759	31048
1611	14768	31039
1612	14776	31028
1613	14786	31019
1614	14795	31009
1615	14804	31000
1616	14813	30991
1617	14822	30981
1618	14831	30972
1619	14839	30962
1620	14848	30952
1621	14857	30942
1622	14866	30932
1623	14874	30922
1624	14883	30912
1625	14893	30903
1626	14901	30893
